feature_1,feature_2,label,subset
-1.924708747021889,-1.039562125728363,0,TRAIN
-2.6965916312399147,-0.8753678730394832,0,TEST
2.1772773287691045,-0.7659954352402116,2,TRAIN
-2.308421071513342,-1.3976879924566568,0,TRAIN
-0.8292447156773997,-1.9310770039504477,0,TRAIN
-1.8852834302252068,0.938205874559134,1,TRAIN
-1.8422236713195779,-0.9357842860284171,0,TEST
-1.6138718565688217,-1.9206398654807986,0,VALID
-0.9251288852841993,-2.731216971767987,0,TRAIN
-1.3497044899451365,1.5649290181566349,1,TRAIN
-2.3833639613730586,-1.461509489295887,0,TRAIN
1.7386706325382066,0.4672262316060456,3,TRAIN
-3.849063814708436,-0.05061710695425181,0,TRAIN
0.22084826504467636,-2.3096542671140106,0,TEST
0.18224095743803947,2.3139923398650555,3,TRAIN
-1.164056912845515,-1.3071660958075466,0,TRAIN
-1.4097206675832628,-1.6303498822006042,0,VALID
1.5755423855493083,0.8099477837601159,3,TRAIN
-2.802091044922653,-0.385079118054521,0,TRAIN
-2.2383037861083572,-1.1748582906602452,0,VALID
-0.7694075424841917,-1.1266796363414535,0,TRAIN
-1.6584971552202028,1.428840588052132,1,TRAIN
-1.7719052765024057,-2.0467702154591265,0,TRAIN
-2.7938146831994093,-0.2187040587085629,0,TRAIN
-1.4313107833331544,-2.0090048547640995,0,TRAIN
-1.070235107987585,-1.734264911414662,0,TRAIN
-0.6494742248220179,-2.3006943539885776,0,TRAIN
0.49424236659959053,1.3885375227061283,3,TRAIN
0.7097017895752941,0.43922326241534115,3,TRAIN
-0.7842815753183444,-2.3516377249230622,0,TRAIN
0.33459779279381063,-2.389390064710353,0,TEST
1.3005193640386283,-1.7595712671593593,2,TRAIN
1.4733477412764568,1.0394847453380873,3,TRAIN
-0.6633709754523659,-2.2842624847158106,0,TRAIN
-1.1231613226345407,-1.9504649022387022,0,TRAIN
0.3215561360263486,1.5905727213943506,3,TRAIN
0.6806895744080781,0.8436967807912273,3,TRAIN
-1.986739477311118,-1.3983807892883866,0,TRAIN
-2.8969216117552987,-1.0159012541659687,0,TRAIN
-3.132075144022804,-0.6027216533053467,0,TRAIN
0.5576242946771933,0.39267226017763823,3,TRAIN
-1.6298028456279439,0.8514070852528546,1,TRAIN
-1.0164523890417414,-2.4256014053128303,0,TRAIN
-1.850628922495557,-0.6829590567957329,3,TRAIN
