feature_1,feature_2,label,subset,tag
0.8838593950812419,5.335678426279342,0,TEST,
-2.1439448072144844,1.4131593224498702,0,TEST,
-7.898405526338648,1.6114007411377071,1,TEST,
0.16975129966779456,-2.2025015035156166,0,TRAIN,true_zero
2.5869316545734278,2.9340429933442733,1,TRAIN,true_one
0.05273120829824207,-2.207488023520356,0,TRAIN,true_zero
-1.6662100490542884,1.8676281653231561,1,TRAIN,label_noise
-1.951157188994732,1.2096170195170708,0,TRAIN,true_zero
-1.5328913591456859,1.7022560025703088,1,TRAIN,label_noise
-1.6234839922439215,2.15730900746281,0,TRAIN,true_zero
2.9330794697181117,0.43739753826048955,1,TRAIN,true_one
4.509284209464034,0.2486330868229658,1,TRAIN,true_one
-0.019207853900682137,-2.0220432056878077,0,TRAIN,label_noise
-5.475580822286273,-2.452857544583267,0,TRAIN,true_zero
-1.4767772343818444,-1.7639243623175365,0,TRAIN,true_zero
-3.5476399832315115,1.3556636140438276,1,TRAIN,true_one
0.9328879034973058,2.1217088256539367,1,VALID,true_one
-0.9802975860721072,2.5410766676782894,1,TRAIN,label_noise
-1.1531833524131505,-1.8879684749862529,0,TRAIN,true_zero
-10.484526413175722,-2.7826258507688335,0,TRAIN,true_zero
2.432742373713002,-3.064950748475214,0,TRAIN,true_zero
-1.0378328981321059,-1.8875493691539835,1,TRAIN,label_noise
3.2677601689638234,1.440328375529785,1,TRAIN,true_one
-1.2237678027312562,-1.8728541162751755,1,VALID,label_noise
-4.755177241279643,2.2946513694856177,0,TRAIN,true_zero
-2.1710043500691674,2.195704738217967,0,TRAIN,true_zero
2.7491824727684877,0.8565094895487155,1,TRAIN,true_one
-4.582312570663118,-0.8634346721158296,0,TEST,
-3.98526059942394,0.7254513261021072,1,TRAIN,true_one
-1.2004557209492264,0.35733673167976554,0,TRAIN,true_zero
-3.0053881733890195,-1.352015842591979,0,TRAIN,true_zero
1.587384073293203,2.6110987236294823,1,TRAIN,true_one
-1.0707906423797329,2.6417610843115353,1,TRAIN,label_noise
-6.900382344579051,-2.8553638725629273,0,TRAIN,true_zero
1.4126658254968536,1.4496435773055556,1,VALID,true_one
-6.692365691770057,1.6021406455306522,0,TEST,
-2.7605024947366967,4.4964304409010785,1,TRAIN,true_one
1.6794400526431605,1.861347447913527,0,TRAIN,label_noise
-2.2145205521698,-1.582751729591072,0,VALID,true_zero
-6.0188597238836055,1.1876525517822718,1,TRAIN,true_one
-2.1803691895292867,1.4638362149584803,0,TRAIN,true_zero
-1.0105362183119615,1.7189029638722761,0,TRAIN,true_zero
-0.15010039474172188,-2.107859717363346,0,TRAIN,true_zero
-3.7283852930746706,-1.150443023974234,0,TRAIN,true_zero
-2.3919205953676017,-1.561764117279036,0,TRAIN,true_zero
-9.670338756952875,-2.9173731857420684,0,TRAIN,true_zero
-8.709227416766689,0.823919991903987,1,VALID,true_one
-1.475428139517309,2.4651902343521073,0,TEST,
-2.9226577646572944,-1.3422896557479402,0,TRAIN,true_zero
-5.28742853838214,1.552397005485764,0,TRAIN,true_zero
-1.878199432214585,-1.6182505952484425,0,TRAIN,true_zero
-1.926738660193471,1.5596582044493728,1,TRAIN,label_noise
-1.023521861594989,3.1067088087860038,0,TRAIN,true_zero
-2.125690759076528,2.2377698167354634,0,TRAIN,true_zero
-1.1648322951125514,1.9362564406888154,0,TRAIN,true_zero
-7.15543217788266,-1.0395206399519539,0,TRAIN,true_zero
1.8684261182420514,1.3792785091153796,1,TRAIN,true_one
